Performing system checks...

System check identified no issues (0 silenced).

You have 15 unapplied migration(s). Your project may not work properly until you apply the migrations for app(s): admin, auth, contenttypes, sessions.
Run 'python manage.py migrate' to apply them.
November 05, 2018 - 20:58:18
Django version 2.1.2, using settings 'mysite.settings'
Starting development server at http://192.168.1.3:8000/
Quit the server with CTRL-BREAK.
[05/Nov/2018 20:58:20] "GET /datatables/demo03 HTTP/1.1" 200 1316
[05/Nov/2018 20:58:20] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:58:20] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:58:20] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:58:20] "GET /static/3rdLibs/bootstrap-3.3.7/js/bootstrap.js HTTP/1.1" 200 69707
[05/Nov/2018 20:58:20] "GET /static/datas/datatable_object.js?_=1541422700324 HTTP/1.1" 200 12648
Not Found: /favicon.ico
[05/Nov/2018 20:58:20] "GET /favicon.ico HTTP/1.1" 404 2296
[05/Nov/2018 20:59:03] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:03] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:03] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:03] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:03] "GET /static/datas/datatable_object.js?_=1541422743057 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:04] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:04] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:04] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:04] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:04] "GET /static/datas/datatable_object.js?_=1541422744745 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:10] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:10] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:10] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:10] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:10] "GET /static/datas/datatable_object.js?_=1541422750552 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:11] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:11] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:11] "GET /static/datas/datatable_object.js?_=1541422751249 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:11] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:11] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:11] "GET /static/datas/datatable_object.js?_=1541422751556 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:11] "GET /datatables/demo03 HTTP/1.1" 200 1218
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:11] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:11] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:11] "GET /static/datas/datatable_object.js?_=1541422751830 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:23] "GET /datatables/demo03 HTTP/1.1" 200 1318
[05/Nov/2018 20:59:23] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
[05/Nov/2018 20:59:23] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:23] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:23] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:23] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
[05/Nov/2018 20:59:23] "GET /static/3rdLibs/bootstrap-3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[05/Nov/2018 20:59:23] "GET /static/datas/datatable_object.js?_=1541422763735 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:29] "GET /datatables/demo03 HTTP/1.1" 200 1416
[05/Nov/2018 20:59:29] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
[05/Nov/2018 20:59:29] "GET /static/3rdLibs/bootstrap-3.3.7/js/bootstrap.js HTTP/1.1" 200 69707
[05/Nov/2018 20:59:29] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:29] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:29] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:29] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
[05/Nov/2018 20:59:29] "GET /static/3rdLibs/bootstrap-3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[05/Nov/2018 20:59:29] "GET /static/datas/datatable_object.js?_=1541422769508 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:32] "GET /datatables/demo03 HTTP/1.1" 200 1416
[05/Nov/2018 20:59:32] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
[05/Nov/2018 20:59:32] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:32] "GET /static/3rdLibs/bootstrap-3.3.7/js/bootstrap.js HTTP/1.1" 200 69707
[05/Nov/2018 20:59:32] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:32] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:32] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
[05/Nov/2018 20:59:32] "GET /static/3rdLibs/bootstrap-3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[05/Nov/2018 20:59:32] "GET /static/datas/datatable_object.js?_=1541422772119 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:44] "GET /datatables/demo03 HTTP/1.1" 200 1318
[05/Nov/2018 20:59:44] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
[05/Nov/2018 20:59:44] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:44] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:44] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:44] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
[05/Nov/2018 20:59:44] "GET /static/3rdLibs/bootstrap-3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[05/Nov/2018 20:59:44] "GET /static/datas/datatable_object.js?_=1541422784361 HTTP/1.1" 200 12648
[05/Nov/2018 20:59:45] "GET /datatables/demo03 HTTP/1.1" 200 1318
[05/Nov/2018 20:59:45] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146010
[05/Nov/2018 20:59:45] "GET /static/plugins/DataTables/datatables.css HTTP/1.1" 200 5265
[05/Nov/2018 20:59:45] "GET /static/3rdLibs/jquery-3.2.1/jquery-3.2.1.js HTTP/1.1" 200 278292
[05/Nov/2018 20:59:45] "GET /static/plugins/DataTables/datatables.js HTTP/1.1" 200 452424
[05/Nov/2018 20:59:45] "GET /static/3rdLibs/bootstrap-3.3.7/css/bootstrap.css.map HTTP/1.1" 200 389287
[05/Nov/2018 20:59:45] "GET /static/3rdLibs/bootstrap-3.3.7/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[05/Nov/2018 20:59:45] "GET /static/datas/datatable_object.js?_=1541422785390 HTTP/1.1" 200 12648
